# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 1.2095 h/Mpc,
# number of wavenumbers equal to 642
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.258026520802e-01       2.340220305551e+02 
       6.289569441176e-01       2.315056686589e+02 
       6.321112362357e-01       2.290309657477e+02 
       6.352655284332e-01       2.265945260487e+02 
       6.384198207090e-01       2.241938346031e+02 
       6.415741130620e-01       2.218258307465e+02 
       6.447284054911e-01       2.194902438816e+02 
       6.478826979950e-01       2.171865883472e+02 
       6.510369905727e-01       2.149161669459e+02 
       6.541912832232e-01       2.126792125555e+02 
       6.573455759453e-01       2.104743922047e+02 
       6.604998687382e-01       2.082999611419e+02 
       6.636541616007e-01       2.061547633209e+02 
       6.668084545318e-01       2.040375342367e+02 
       6.699627475306e-01       2.019480442951e+02 
       6.731170405962e-01       1.998893316413e+02 
       6.762713337276e-01       1.978614846703e+02 
       6.794256269238e-01       1.958647897463e+02 
       6.825799201840e-01       1.938982266530e+02 
       6.857342135074e-01       1.919608075412e+02 
       6.888885068929e-01       1.900503074361e+02 
       6.920428003398e-01       1.881657665066e+02 
       6.951970938473e-01       1.863070057731e+02 
       6.983513874144e-01       1.844749112622e+02 
       7.015056810405e-01       1.826700133042e+02 
       7.046599747247e-01       1.808906172886e+02 
       7.078142684662e-01       1.791368408152e+02 
       7.109685622643e-01       1.774060553549e+02 
       7.141228561182e-01       1.756971112580e+02 
       7.172771500272e-01       1.740093860216e+02 
       7.204314439906e-01       1.723427073760e+02 
       7.235857380076e-01       1.706982850488e+02 
       7.267400320775e-01       1.690763323236e+02 
       7.298943261997e-01       1.674769231939e+02 
       7.330486203735e-01       1.658992085159e+02 
       7.362029145982e-01       1.643420380918e+02 
       7.393572088731e-01       1.628043172070e+02 
       7.425115031977e-01       1.612848395736e+02 
       7.456657975712e-01       1.597851673297e+02 
       7.488200919932e-01       1.583058434257e+02 
       7.519743864628e-01       1.568468345866e+02 
       7.551286809797e-01       1.554080450214e+02 
       7.582829755431e-01       1.539883234006e+02 
       7.614372701525e-01       1.525869946104e+02 
