# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  152       6.072012428383e-10       1.480820031563e-13      -6.306948718561e-12       1.056801331409e-15       3.457701410490e-12       5.962267108934e-13      -3.839914571037e-15 
  153       6.117027034992e-10       1.473559361050e-13      -6.307409133755e-12       1.071965606107e-15       3.393390831312e-12       5.877324490237e-13      -3.782361336060e-15 
  154       6.161749288831e-10       1.465730506779e-13      -6.304542275788e-12       1.087264099924e-15       3.330588275087e-12       5.795643617543e-13      -3.730907864613e-15 
  155       6.206165723349e-10       1.457347691958e-13      -6.298308914457e-12       1.102697169219e-15       3.269260659791e-12       5.716862275373e-13      -3.684176801940e-15 
  156       6.250262878300e-10       1.448426173973e-13      -6.288671647367e-12       1.118265324981e-15       3.209377252456e-12       5.640485350499e-13      -3.640302668801e-15 
  157       6.294026923045e-10       1.438982305195e-13      -6.275594763803e-12       1.133969072663e-15       3.150901214289e-12       5.565984678646e-13      -3.597315166303e-15 
  158       6.337443649942e-10       1.429033550214e-13      -6.259044284982e-12       1.149808912014e-15       3.093789472077e-12       5.492798466693e-13      -3.553137451306e-15 
  159       6.380498467732e-10       1.418598503089e-13      -6.238988004320e-12       1.165785336911e-15       3.037992589579e-12       5.420330714874e-13      -3.505584411825e-15 
  160       6.423177005568e-10       1.407696746887e-13      -6.215395585362e-12       1.181898929465e-15       2.983461963674e-12       5.348085703633e-13      -3.452908381391e-15 
  161       6.465466999355e-10       1.396348382078e-13      -6.188238780826e-12       1.198150652104e-15       2.930172402456e-12       5.276086116223e-13      -3.395494475197e-15 
  162       6.507356561391e-10       1.384574488929e-13      -6.157491310061e-12       1.214541581275e-15       2.878101319593e-12       5.204491186421e-13      -3.334313498055e-15 
  163       6.548833581086e-10       1.372397297799e-13      -6.123128843331e-12       1.231072815777e-15       2.827221496513e-12       5.133465030421e-13      -3.270388889493e-15 
  164       6.589885721195e-10       1.359840205652e-13      -6.085129042345e-12       1.247745477028e-15       2.777500987925e-12       5.063176698223e-13      -3.204797549346e-15 
  165       6.630500414054e-10       1.346927792553e-13      -6.043471600780e-12       1.264560709339e-15       2.728903027340e-12       4.993800225015e-13      -3.138670663344e-15 
  166       6.670664857811e-10       1.333685838185e-13      -5.998138284821e-12       1.281519680184e-15       2.681385932588e-12       4.925514682565e-13      -3.073194528691e-15 
  167       6.710366073670e-10       1.320141038903e-13      -5.949112695190e-12       1.298623421601e-15       2.634909178965e-12       4.858472426747e-13      -3.009363513580e-15 
  168       6.749591090996e-10       1.306320097208e-13      -5.896379445542e-12       1.315872338650e-15       2.589452398547e-12       4.792700690309e-13      -2.947213536880e-15 
